Noticias,links
"




",https://noticias.caracoltv.com/economia/por-fin-vera-la-luz-el-tunel-de-la-linea-empieza-a-funcionar-este-4-de-septiembre
Economía,https://noticias.caracoltv.com/economia
¡Por fin verá la luz! El túnel de La Línea empieza a funcionar este 4 de septiembre ,https://noticias.caracoltv.com/economia/por-fin-vera-la-luz-el-tunel-de-la-linea-empieza-a-funcionar-este-4-de-septiembre
"La megaobra, la más extensa de su tipo en Latinoamérica, duró más de una década en construcción. Conductores confían en que mejore la movilidad del centro y occidente del país. ",https://noticias.caracoltv.com/economia/por-fin-vera-la-luz-el-tunel-de-la-linea-empieza-a-funcionar-este-4-de-septiembre
"




",https://noticias.caracoltv.com/caribe/acordeonero-que-le-canto-a-la-pandemia-y-sobrevivio-al-covid-perdio-la-batalla-contra-otro-enemigo
Caribe,https://noticias.caracoltv.com/caribe
Acordeonero que le cantó a la pandemia y sobrevivió al COVID perdió la batalla contra otro enemigo,https://noticias.caracoltv.com/caribe/acordeonero-que-le-canto-a-la-pandemia-y-sobrevivio-al-covid-perdio-la-batalla-contra-otro-enemigo
"Una bacteria acabó con la vida de Miguel Durán Junior, aseguró su familia. Dijo que la adquirió en una de las clínicas donde se recuperaba del coronavirus. ",https://noticias.caracoltv.com/caribe/acordeonero-que-le-canto-a-la-pandemia-y-sobrevivio-al-covid-perdio-la-batalla-contra-otro-enemigo
"




",https://noticias.caracoltv.com/el-periodista-soy-yo/bus-del-sitp-repleto-de-pasajeros-una-imagen-que-preocupa-en-bogota
El periodista soy yo,https://noticias.caracoltv.com/el-periodista-soy-yo
Bus del SITP repleto de pasajeros: una imagen que preocupa en Bogotá ,https://noticias.caracoltv.com/el-periodista-soy-yo/bus-del-sitp-repleto-de-pasajeros-una-imagen-que-preocupa-en-bogota
"“Dame la parada que me bajo, prefiero llegar tarde”, dijo el ciudadano que grabó el video, consciente de los riesgos de andar así en época de coronavirus.",https://noticias.caracoltv.com/el-periodista-soy-yo/bus-del-sitp-repleto-de-pasajeros-una-imagen-que-preocupa-en-bogota
"




",https://noticias.caracoltv.com/antioquia/tutela-dice-que-el-cartel-de-medellin-lo-creo-el-clero-ruso-ortodoxo
Antioquia,https://noticias.caracoltv.com/antioquia
Niegan insólita tutela a mujer que dice que el cartel de Medellín lo creó el “Clero Ruso Ortodoxo”,https://noticias.caracoltv.com/antioquia/tutela-dice-que-el-cartel-de-medellin-lo-creo-el-clero-ruso-ortodoxo
"En la demanda, Daisy Milena Gómez Otálvaro pidió una inspección a las montañas de Suba, en Bogotá, y a las logias masonas de la capital y de Manizales.",https://noticias.caracoltv.com/antioquia/tutela-dice-que-el-cartel-de-medellin-lo-creo-el-clero-ruso-ortodoxo
"




",https://noticias.caracoltv.com/mundo/bebe-milagro-su-mama-murio-tras-ser-arrollada-por-conductora-ebria
Mundo,https://noticias.caracoltv.com/mundo
La historia de una ‘bebé milagro’: su mamá murió tras ser arrollada por conductora ebria ,https://noticias.caracoltv.com/mundo/bebe-milagro-su-mama-murio-tras-ser-arrollada-por-conductora-ebria
"Una rápida acción de los médicos le salvó la vida a la pequeña. La responsable del accidente, que en tenía tres condenas previas por manejar drogada, fue acusada de asesinato.  ",https://noticias.caracoltv.com/mundo/bebe-milagro-su-mama-murio-tras-ser-arrollada-por-conductora-ebria
"




",https://noticias.caracoltv.com/politica/derrotamos-al-gobierno-se-cayo-el-mico-de-la-ley-de-regalias-que-daba-luz-verde-al-fracking
Política,https://noticias.caracoltv.com/politica
"""Derrotamos al gobierno"": se cayó el 'mico' de la ley de regalías que daba luz verde al fracking  ",https://noticias.caracoltv.com/politica/derrotamos-al-gobierno-se-cayo-el-mico-de-la-ley-de-regalias-que-daba-luz-verde-al-fracking
Senado eliminó el apartado que permitiría incentivos económicos y tributarios para exploración y explotación de yacimientos no convencionales en Colombia. ,https://noticias.caracoltv.com/politica/derrotamos-al-gobierno-se-cayo-el-mico-de-la-ley-de-regalias-que-daba-luz-verde-al-fracking
"




",https://noticias.caracoltv.com/tour-de-francia/el-debut-en-el-tour-de-francia-todavia-no-le-sonrie-a-dayer-quintana-volvio-a-caerse-en-la-etapa-6
Tour de Francia 2020,https://noticias.caracoltv.com/tour-de-francia
El debut en el Tour de Francia todavía no le sonríe a Dayer Quintana: volvió a caerse en la etapa 6 ,https://noticias.caracoltv.com/tour-de-francia/el-debut-en-el-tour-de-francia-todavia-no-le-sonrie-a-dayer-quintana-volvio-a-caerse-en-la-etapa-6
Es la segunda vez en la competición que el ciclista colombiano se va al suelo. En esta ocasión se tropezó con una caramañola que estaba en el suelo.  ,https://noticias.caracoltv.com/tour-de-francia/el-debut-en-el-tour-de-francia-todavia-no-le-sonrie-a-dayer-quintana-volvio-a-caerse-en-la-etapa-6
"




",https://noticias.caracoltv.com/tour-de-francia/ciclista-por-que-ningun-ciclista-se-atreve-a-lanzar-un-ataque-en-la-montana-del-tour-de-francia
Tour de Francia 2020,https://noticias.caracoltv.com/tour-de-francia
¿Por qué ningún ciclista se atreve a lanzar un ataque en la montaña del Tour de Francia? ,https://noticias.caracoltv.com/tour-de-francia/ciclista-por-que-ningun-ciclista-se-atreve-a-lanzar-un-ataque-en-la-montana-del-tour-de-francia
