Noticias,links
"

",https://www.semana.com//semana-tv/vicky-en-semana/articulo/expediente-uribe-los-chats-entre-juan-guillermo-monsalve-y-alias-caliche/698973
Expediente Uribe: los chats entre Juan Guillermo Monsalve y alias Caliche ,https://www.semana.com//semana-tv/vicky-en-semana/articulo/expediente-uribe-los-chats-entre-juan-guillermo-monsalve-y-alias-caliche/698973
"

",https://www.semana.com//vida-moderna/articulo/fiestas-ciclovia-y-restaurantes-guia-para-convivir-con-el-coronavirus/699021
"¿Fiestas, ciclovía y restaurantes? Guía para convivir con el coronavirus",https://www.semana.com//vida-moderna/articulo/fiestas-ciclovia-y-restaurantes-guia-para-convivir-con-el-coronavirus/699021
"

",https://www.semana.com//nacion/articulo/semana-lidera-las-transmisiones-en-facebook/698860
SEMANA lidera las transmisiones noticiosas en vivo en Facebook ,https://www.semana.com//nacion/articulo/semana-lidera-las-transmisiones-en-facebook/698860
"

",https://www.semana.com//nacion/articulo/la-providencia-por-la-que-uribe-ahora-sera-investigado-por-la-fiscalia/699027
La providencia con que la Corte deja a Uribe a disposición de la Fiscalía,https://www.semana.com//nacion/articulo/la-providencia-por-la-que-uribe-ahora-sera-investigado-por-la-fiscalia/699027
"
			EL EXPEDIENTE SECRETO DEL CASO URIBE  |
			
		",https://www.semana.com//noticias/expediente-de-uribe/134111
"

",https://www.semana.com//semana-tv/vicky-en-semana/articulo/las-promesas-de-caliche-a-monsalve-para-ingresarlo-a-la-jep/699024
Atención | “Si lo mandan a la JEP en un mes está afuera”: Caliche a Monsalve,https://www.semana.com//semana-tv/vicky-en-semana/articulo/las-promesas-de-caliche-a-monsalve-para-ingresarlo-a-la-jep/699024
La visita en la cárcel: lo que le dijo Mancuso a Cepeda en cinco horas de cita,https://www.semana.com//semana-tv/vicky-en-semana/articulo/expediente-uribe-relato-de-la-reunion-entre-ivan-cepeda-y-salvatore-mancuso/698658
"

",https://www.semana.com//semana-tv/vicky-en-semana/articulo/expediente-uribe-relato-de-la-reunion-entre-ivan-cepeda-y-salvatore-mancuso/698658
"""El asesinato de mi padre"": los recuerdos de Iván Cepeda sobre ese dolor ",https://www.semana.com//nacion/articulo/expediente-uribe-ivan-cepeda-habla-del-asesinato-de-su-papa/698758
"

",https://www.semana.com//nacion/articulo/expediente-uribe-ivan-cepeda-habla-del-asesinato-de-su-papa/698758
" ""No respondo esa pregunta"": Iván Cepeda sobre si borró chats con Monsalve",https://www.semana.com//nacion/articulo/expediente-uribe--ivan-cepeda-habla-de-los-chats-supuestamente-borrados/698779
"

",https://www.semana.com//nacion/articulo/expediente-uribe--ivan-cepeda-habla-de-los-chats-supuestamente-borrados/698779
"
                            VER MÁS NOTICIAS DEL EXPEDIENTE DE URIBE 
                        ",https://www.semana.com//noticias/expediente-de-uribe/134111
"

",https://www.semana.com//semana-tv/semana-noticias/articulo/uribe-y-los-informes-del-pentagono-y-la-cia/698890
Uribe y los informes del pentágono y la CIA,https://www.semana.com//semana-tv/semana-noticias/articulo/uribe-y-los-informes-del-pentagono-y-la-cia/698890
"

",https://www.semana.com//nacion/articulo/terminal-de-transporte-de-bogota-precio-por-las-nubes-este-1-de-septiembre/698799
Regresar con poco o nada: realidad de viajeros que van a la terminal de Bogotá,https://www.semana.com//nacion/articulo/terminal-de-transporte-de-bogota-precio-por-las-nubes-este-1-de-septiembre/698799
"

",https://www.semana.com//deportes/articulo/james-rodriguez-ya-seria-nuevo-jugador-del-everton/697882
James Rodríguez ya sería nuevo jugador del Everton,https://www.semana.com//deportes/articulo/james-rodriguez-ya-seria-nuevo-jugador-del-everton/697882
"

",https://www.semana.com//vida-moderna/multimedia/actitudes-de-las-personas-con-inteligencia-emocional/698857
¿Cuáles son las actitudes de las personas emocionalmente inteligentes?,https://www.semana.com//vida-moderna/multimedia/actitudes-de-las-personas-con-inteligencia-emocional/698857
